Task_ID,Timestamp,Joint_ID,Desired_Position,Actual_Position,Desired_Velocity,Actual_Velocity,Actuator_Torque_Command,Energy_Consumption,Path_Error,Predicted_Position_SRR_DM_Bi_LSTM,Predicted_Velocity_SRR_DM_Bi_LSTM,Inference_Latency,Edge_Node_ID,Task_Completion_Time,Environment_Load,Motion_Type,Robot_Model,Edge_Computing_Enabled,Green_Computing_Mode,Target_Desired_Position
T009,01-07-2024 09:01,3.072685959,50.55119534,50.79796476,0.287538852,0.268106491,1.015265611,5.423693654,0.351895078,50.07986715,0.334950148,23.27730531,Edge-02,13.81539394,Light,Place,KUKA KR10,TRUE,TRUE,50.55119534
T008,01-07-2024 09:06,5.498225013,10.65413349,10.99243026,0.553268487,0.609720759,1.409881219,5.341835177,0.312738139,10.6930556,0.556577192,23.08387453,Edge-01,15,Light,Pick,FANUC M-20iA,TRUE,TRUE,10.65413349
T003,01-07-2024 09:08,4.757013765,70.858396,71.17566481,0.699192433,0.777746599,1.022539176,5.507591597,0.208484892,70.78668431,0.669615368,24.45053371,Edge-02,11.52728228,Heavy,Place,IRB6700,TRUE,TRUE,70.858396
T001,01-07-2024 09:01,2.171178658,82.5429243,81.85699316,0.625512814,0.645387038,0.994247145,5.597397909,0.487055764,82.73034097,0.617199672,22.7556892,Edge-01,12.38664472,Heavy,Place,KUKA KR10,TRUE,TRUE,82.5429243
T003,01-07-2024 09:07,3.016276879,80.87212607,80.12087758,1,1.059900259,1.191983318,5.836373478,0.296096372,81.1724573,1.05,24.81379248,Edge-01,11.20149712,Light,Inspect,IRB6700,TRUE,TRUE,80.87212607
T010,01-07-2024 09:05,3.093383291,22.79993787,23.2643046,0.442899651,0.644238167,1.224299495,4.51,0.308975878,22.88756252,0.431252187,22.91660628,Edge-03,14.75733284,Heavy,Inspect,FANUC M-20iA,TRUE,TRUE,22.79993787
T009,01-07-2024 09:03,4.091295335,11.02678868,11.55807387,1,1.09,1.058640925,4.51,0.331774642,10.58215391,1.05,24.40989144,Edge-03,14.79621182,Light,Weld,FANUC M-20iA,TRUE,TRUE,11.02678868
T006,01-07-2024 09:07,3.068340647,49.69568434,49.60527812,0.915592601,0.922018992,1.490046942,4.854756441,0.38819398,49.52371135,0.901037989,24.30003788,Edge-02,13.79290701,Heavy,Pick,KUKA KR10,TRUE,TRUE,49.69568434
T009,01-07-2024 09:08,2.27594558,27.69170722,28.50005181,0.910003089,0.933288125,1.170423715,5.013195465,0.436518899,27.91956568,0.907484662,24.0075609,Edge-01,12.76536183,Heavy,Place,FANUC M-20iA,TRUE,TRUE,27.69170722
T004,01-07-2024 09:00,5.490246709,38.58497648,38.16000922,0.634948262,0.589190332,1.054929414,5.572016872,0.400360613,39.54022448,0.646694951,24.8529948,Edge-01,10.76345104,Light,Pick,IRB6700,TRUE,TRUE,38.58497648
T005,01-07-2024 09:06,1.705052417,39.2236511,39.49831726,0.491304405,0.485782121,1.206300837,5.223655746,0.38476176,39.06546191,0.450598901,23.31415275,Edge-02,12.96839213,Heavy,Place,KUKA KR10,TRUE,TRUE,39.2236511
T003,01-07-2024 09:00,2.966656256,39.05572063,38.52288729,1,1.09,1.140936089,5.011261154,0.215863062,39.32631751,1.05,24.09408218,Edge-01,11.61622452,Heavy,Place,IRB6700,TRUE,TRUE,39.05572063
T004,01-07-2024 09:03,1.64979998,32.94682831,33.1064075,0.741660388,0.801168293,1.279411927,6,0.253763588,33.44961581,0.764369706,24.14402741,Edge-02,12.26459264,Light,Pick,FANUC M-20iA,TRUE,TRUE,32.94682831
T005,01-07-2024 09:05,3.636055824,26.48550994,25.79492943,0.793958742,0.776588789,1.281747241,6,0.34679542,27.0733529,0.822899697,23.62372071,Edge-02,10.01,Heavy,Weld,FANUC M-20iA,TRUE,TRUE,26.48550994
T006,01-07-2024 09:04,2.092089321,12.86356525,12.41107264,0.280870162,0.300505197,1.091694893,5.586343667,0.344590429,13.07705339,0.279427179,24.49415951,Edge-01,12.97121634,Heavy,Weld,IRB6700,TRUE,TRUE,12.86356525
T002,01-07-2024 09:06,2.672556123,66.18209416,65.63057003,0.491169051,0.408135044,0.8,4.867879906,0.509047199,66.45736158,0.468509407,22.5,Edge-02,12.15363021,Light,Inspect,IRB6700,TRUE,TRUE,66.18209416
T003,01-07-2024 09:00,1,10,9.52,0.730596813,0.779869388,0.959672713,5.637154222,0.264828388,9.42,0.755362639,23.64843956,Edge-01,13.73241822,Heavy,Weld,IRB6700,TRUE,TRUE,10
T010,01-07-2024 09:03,5.238119222,68.25123166,69.626555,0.28146698,0.311218376,0.8,5.680768216,0.272266247,67.89328567,0.270760561,23.45077004,Edge-02,12.70583489,Heavy,Inspect,IRB6700,TRUE,TRUE,68.25123166
T008,01-07-2024 09:04,4.138121556,55.91655031,56.59187289,0.458862162,0.396882107,1.00271085,4.832732324,0.287334295,56.46606533,0.468191434,23.50775612,Edge-03,14.29899055,Light,Inspect,FANUC M-20iA,TRUE,TRUE,55.91655031
T002,01-07-2024 09:05,2.740698502,49.5346321,49.78476783,0.529565223,0.535890479,1.012517664,5.420589275,0.234533409,49.83564293,0.539805257,23.1753334,Edge-03,13.59591443,Heavy,Inspect,KUKA KR10,TRUE,TRUE,49.5346321
T006,01-07-2024 09:05,3.631974172,67.60977622,68.18752449,0.396937492,0.407326122,1.205921326,5.6373863,0.470866468,67.78572296,0.3788682,23.10325233,Edge-02,12.9702147,Heavy,Place,IRB6700,TRUE,TRUE,67.60977622
T005,01-07-2024 09:01,2.351541629,15.44945157,14.7740429,1,1.09,1.236238612,5.233414238,0.415274753,15.13926611,1.05,24.3883837,Edge-02,14.03289619,Heavy,Weld,KUKA KR10,TRUE,TRUE,15.44945157
T007,01-07-2024 09:07,1,52.67813882,52.34100229,0.399117408,0.404002159,1.490318845,5.262895066,0.344219908,52.71984155,0.432312837,23.76289736,Edge-02,12.90224202,Heavy,Place,IRB6700,TRUE,TRUE,52.67813882
T009,01-07-2024 09:07,4.894865435,57.05227326,55.86607547,0.754334862,0.855317483,0.991578351,5.504111158,0.372004175,56.91388556,0.73123818,22.5,Edge-03,12.00693867,Light,Pick,FANUC M-20iA,TRUE,TRUE,57.05227326
T002,01-07-2024 09:01,4.132120599,43.74130282,43.00398645,0.585538037,0.6050712,1.041429913,4.51,0.305970389,43.77259814,0.572961837,24.99,Edge-02,11.69756796,Light,Weld,KUKA KR10,TRUE,TRUE,43.74130282
T007,01-07-2024 09:06,4.452579916,47.975414,47.92110638,0.597558954,0.533188132,1.233625801,5.402065338,0.410074685,48.1692235,0.609658925,23.5758459,Edge-01,11.94243876,Light,Weld,IRB6700,TRUE,TRUE,47.975414
T008,01-07-2024 09:00,2.562043535,83.57062893,83.18770359,0.533094137,0.471441714,1.103146945,5.378782344,0.483871345,83.68334305,0.538627701,22.89947179,Edge-02,11.41167932,Heavy,Pick,KUKA KR10,TRUE,TRUE,83.57062893
T001,01-07-2024 09:04,1,52.05361741,52.68950616,0.383065121,0.306340126,1.127264144,5.043824437,0.324435508,51.97984831,0.397215195,23.20608004,Edge-02,11.51684076,Heavy,Weld,IRB6700,TRUE,TRUE,52.05361741
T008,01-07-2024 09:01,5.132260177,75.90415306,75.37628511,0.66053547,0.693135873,0.886368206,4.70147289,0.239868157,76.23209386,0.723549516,22.5,Edge-01,13.2230145,Heavy,Inspect,KUKA KR10,TRUE,TRUE,75.90415306
T005,01-07-2024 09:04,2.324078556,35.96707098,35.44543062,0.756545979,0.804560075,0.8,5.334648057,0.273904159,35.89304335,0.73187256,24.31506767,Edge-02,11.89129194,Light,Weld,FANUC M-20iA,TRUE,TRUE,35.96707098
T004,01-07-2024 09:00,2.124871309,58.68911351,58.51061595,0.537584221,0.571386812,1.09343881,5.36668441,0.186527317,58.54652185,0.557920071,24.74984228,Edge-02,12.96823905,Light,Pick,IRB6700,TRUE,TRUE,58.68911351
T006,01-07-2024 09:08,2.569125932,89.43,89.85,0.843671054,0.882026814,1.322295091,5.38044257,0.22799939,89.51,0.840778322,23.81557563,Edge-03,11.33984858,Light,Place,KUKA KR10,TRUE,TRUE,89.43
T003,01-07-2024 09:01,1,68.01754229,68.79343669,1,0.976201734,1.039660143,4.970727732,0.312625058,67.6104527,1.05,23.22405021,Edge-01,11.58878557,Heavy,Inspect,KUKA KR10,TRUE,TRUE,68.01754229
T006,01-07-2024 09:05,2.488736142,66.13873925,66.1909784,0.501833529,0.528248385,0.944730491,4.51,0.505460216,65.97461247,0.489085517,23.50791067,Edge-02,13.9346,Light,Inspect,KUKA KR10,TRUE,TRUE,66.13873925
T002,01-07-2024 09:06,1.617424402,10,9.52,0.461301259,0.481148777,1.247560301,4.58223589,0.261992989,9.42,0.452252106,23.00952541,Edge-03,11.81505899,Light,Weld,KUKA KR10,TRUE,TRUE,10
T007,01-07-2024 09:00,4.671108774,60.14560762,59.63539983,0.54022121,0.514044271,0.80949903,5.705649506,0.151871889,60.09886853,0.548460668,23.88037292,Edge-02,11.92064772,Heavy,Inspect,KUKA KR10,TRUE,TRUE,60.14560762
T005,01-07-2024 09:06,4.996102745,40.21531191,40.44637029,0.633168465,0.605653581,1.330132935,5.422760768,0.303901044,40.55926212,0.649557254,24.23902248,Edge-01,12.82799448,Light,Inspect,KUKA KR10,TRUE,TRUE,40.21531191
T003,01-07-2024 09:08,3.614105491,82.49977218,81.98298004,0.780228407,0.790539567,1.297350912,5.232456738,0.413730139,82.73214791,0.775728924,23.20105591,Edge-03,14.82982062,Heavy,Inspect,FANUC M-20iA,TRUE,TRUE,82.49977218
T008,01-07-2024 09:04,4.213219876,51.9193813,51.62767307,0.439163691,0.468890486,1.150291774,5.267522163,0.243848634,51.59197904,0.434177176,23.9945405,Edge-01,13.82632159,Heavy,Pick,IRB6700,TRUE,TRUE,51.9193813
T006,01-07-2024 09:00,4.271386473,49.53696094,49.85736512,0.2,0.18861401,1.026986824,5.105457074,0.195662413,49.94342196,0.2,24.51599696,Edge-01,10.01,Heavy,Place,IRB6700,TRUE,TRUE,49.53696094
T006,01-07-2024 09:04,4.898845174,67.62569302,67.58679292,0.598957138,0.601398595,1.095725666,5.611943874,0.220152327,66.79625217,0.632241754,22.70797075,Edge-02,11.93980298,Heavy,Weld,KUKA KR10,TRUE,TRUE,67.62569302
T002,01-07-2024 09:05,2.647969539,51.71901673,51.87558126,0.662883852,0.704381481,1.070330672,5.105503931,0.24367275,51.74022712,0.655134196,23.89777426,Edge-02,13.73094239,Light,Pick,IRB6700,TRUE,TRUE,51.71901673
T010,01-07-2024 09:08,2.184085964,44.09749977,44.67407104,1,1.058320839,1.047596359,5.502451876,0.211737753,44.21879432,1.045591392,23.94906517,Edge-02,14.4272119,Light,Pick,IRB6700,TRUE,TRUE,44.09749977
T010,01-07-2024 09:07,3.441573577,69.06103323,69.38809708,0.350572954,0.380140731,1.310908586,5.908394375,0.394847523,69.4076319,0.361080682,24.00102019,Edge-01,11.35924591,Heavy,Pick,IRB6700,TRUE,TRUE,69.06103323
T001,01-07-2024 09:03,3.801833276,48.92279964,49.17857151,0.350292062,0.44920484,1.064244002,5.346114199,0.164164137,49.26197202,0.334533931,24.36109509,Edge-02,14.02985055,Light,Place,IRB6700,TRUE,TRUE,48.92279964
T007,01-07-2024 09:00,1.204697333,10,9.52,0.562745711,0.558489837,1.116086579,5.853589722,0.445248722,9.42,0.528596667,23.5177602,Edge-03,13.51104439,Light,Place,IRB6700,TRUE,TRUE,10
T001,01-07-2024 09:00,3.885219428,22.52991888,21.82846808,0.2,0.155243144,1.037101012,5.610280811,0.294476385,22.33287371,0.2,23.33990431,Edge-02,12.84944646,Light,Place,FANUC M-20iA,TRUE,TRUE,22.52991888
T006,01-07-2024 09:06,2.153733723,67.55983408,68.5281709,0.619572258,0.62970357,1.105781201,5.662918964,0.406096881,67.2383033,0.614159153,23.03493572,Edge-02,12.89383184,Heavy,Weld,IRB6700,TRUE,TRUE,67.55983408
T008,01-07-2024 09:02,1.969422941,89.43,89.74255057,0.533956862,0.484372432,0.8,5.44817173,0.25927451,89.51,0.519403852,24.77182654,Edge-01,11.87409632,Light,Weld,KUKA KR10,TRUE,TRUE,89.43
T005,01-07-2024 09:03,6,89.43,89.85,0.739656726,0.772751928,0.8,5.247395574,0.328871647,89.51,0.752684452,24.03592935,Edge-02,12.44606101,Light,Pick,IRB6700,TRUE,TRUE,89.43
T006,01-07-2024 09:01,4.558976264,37.0470182,37.50545118,0.925881255,0.956389629,1.096223401,5.212834592,0.320265708,37.58434232,0.909104114,23.59412884,Edge-02,13.11260749,Heavy,Place,IRB6700,TRUE,TRUE,37.0470182
T002,01-07-2024 09:04,4.057528704,20.91486439,21.76085117,0.745513393,0.829329744,1.213038123,5.299739371,0.259381831,21.48268091,0.751867993,24.03091305,Edge-03,10.13902127,Light,Pick,FANUC M-20iA,TRUE,TRUE,20.91486439
T002,01-07-2024 09:00,2.424580144,34.26448194,34.66934725,0.66862161,0.729584193,0.862535663,5.790373935,0.301869091,34.39357304,0.655910686,23.99728148,Edge-02,13.86706518,Light,Weld,KUKA KR10,TRUE,TRUE,34.26448194
T010,01-07-2024 09:06,2.103994809,10,9.52,0.2,0.182367469,1.037060773,5.186721886,0.201683106,9.42,0.216401941,24.99,Edge-02,12.42850875,Light,Place,FANUC M-20iA,TRUE,TRUE,10
T005,01-07-2024 09:06,1.438822958,68.25261607,68.7654939,0.644076863,0.637442244,0.947045682,4.841272434,0.159528305,68.2458467,0.633402663,24.66660604,Edge-03,12.53162624,Light,Place,FANUC M-20iA,TRUE,TRUE,68.25261607
T006,01-07-2024 09:05,6,59.82708479,59.35403483,0.644830679,0.673848549,1.154639237,5.00834141,0.339960955,59.60279766,0.646119765,23.49598123,Edge-01,12.99262457,Heavy,Place,IRB6700,TRUE,TRUE,59.82708479
T003,01-07-2024 09:01,3.912737823,51.59528147,52.27723849,0.365254916,0.313122571,1.019888648,4.731155904,0.274569539,51.39009063,0.364068784,22.5,Edge-02,11.96500867,Light,Place,KUKA KR10,TRUE,TRUE,51.59528147
T003,01-07-2024 09:05,5.313167971,89.43,89.85,0.756309691,0.755779786,0.8,4.903762034,0.258397661,89.51,0.747939719,24.24754574,Edge-02,12.73651163,Light,Weld,KUKA KR10,TRUE,TRUE,89.43
T006,01-07-2024 09:07,4.476820576,45.97259088,45.31972117,0.711081357,0.75605793,0.909408061,5.104754671,0.379077556,45.80760145,0.679053833,24.98135935,Edge-01,14.42061771,Heavy,Pick,IRB6700,TRUE,TRUE,45.97259088
T007,01-07-2024 09:00,3.407727018,62.99667145,63.8640631,0.8562481,0.828282512,1.5,5.894113379,0.297170451,62.69883291,0.843111729,24.80320828,Edge-01,12.4718845,Heavy,Pick,FANUC M-20iA,TRUE,TRUE,62.99667145
T002,01-07-2024 09:00,4.86930432,53.13398579,52.82809431,0.246043134,0.302965381,1.015914765,5.05608558,0.371442738,53.20488357,0.223955284,23.87893271,Edge-02,12.29881584,Heavy,Pick,IRB6700,TRUE,TRUE,53.13398579
T004,01-07-2024 09:04,1,23.6020598,23.96584472,0.346141345,0.412941076,1.236016402,5.551302697,0.310316764,23.76439617,0.3608698,24.99,Edge-01,15,Heavy,Place,IRB6700,TRUE,TRUE,23.6020598
T008,01-07-2024 09:03,5.132988775,47.51794676,46.4546927,0.484511998,0.493685078,1.268210701,5.283485849,0.367339236,47.43758516,0.484958618,24.3914436,Edge-01,11.57357102,Light,Weld,FANUC M-20iA,TRUE,TRUE,47.51794676
T006,01-07-2024 09:02,1.527749355,45.28110712,45.77306376,0.538380546,0.510984954,1.316734269,5.153389364,0.217528747,45.35481981,0.543749084,23.89166921,Edge-02,14.49579646,Heavy,Pick,IRB6700,TRUE,TRUE,45.28110712
T004,01-07-2024 09:04,1,59.92742664,59.89982948,0.627832656,0.627078106,1.351567075,4.890562289,0.444673935,60.11135786,0.626697396,24.16044231,Edge-02,13.01209885,Light,Place,IRB6700,TRUE,TRUE,59.92742664
T003,01-07-2024 09:07,2.796933927,16.97824103,16.46705335,0.708116419,0.631378352,1.065368268,4.574637941,0.373856876,16.97796212,0.742771844,24.0782261,Edge-01,13.31589896,Heavy,Inspect,IRB6700,TRUE,TRUE,16.97824103
T004,01-07-2024 09:05,3.51912156,75.18911605,74.45190866,0.58025594,0.612758801,1.078796203,4.883256357,0.365605179,75.5206924,0.5834007,24.36372379,Edge-02,11.53480817,Heavy,Inspect,FANUC M-20iA,TRUE,TRUE,75.18911605
T006,01-07-2024 09:07,1.822953531,60.65781163,60.57670412,0.270689921,0.317765775,1.155768156,5.104750489,0.344244241,60.6985005,0.260568591,24.06318021,Edge-01,13.13499662,Heavy,Inspect,KUKA KR10,TRUE,TRUE,60.65781163
T009,01-07-2024 09:00,2.647327093,40.00895558,39.95890594,0.442790473,0.422270553,1.285911221,5.768965084,0.200323711,40.13669854,0.439953061,24.99,Edge-01,13.60606469,Light,Pick,FANUC M-20iA,TRUE,TRUE,40.00895558
T007,01-07-2024 09:01,2.72373262,50.05947026,49.62017901,0.712673624,0.730467474,0.925278481,5.217707978,0.329051411,49.80815525,0.687514418,23.61627425,Edge-02,12.69052575,Light,Weld,KUKA KR10,TRUE,TRUE,50.05947026
T007,01-07-2024 09:02,4.119830855,66.79104203,66.77883525,0.651892437,0.666313706,1.306334566,4.89395727,0.372855251,67.1886078,0.699187467,23.61492841,Edge-02,13.58569441,Heavy,Weld,FANUC M-20iA,TRUE,TRUE,66.79104203
T002,01-07-2024 09:03,2.455395015,19.48844876,19.53006926,0.937676984,0.834386495,1.334451099,4.815696709,0.270071926,19.70533102,0.923465309,24.11475961,Edge-02,14.01042875,Light,Weld,FANUC M-20iA,TRUE,TRUE,19.48844876
T008,01-07-2024 09:07,1,63.03110751,63.61281377,0.676436435,0.548371026,1.089072135,4.51,0.255482815,63.25351422,0.654161981,23.82763251,Edge-03,10.20291198,Heavy,Pick,KUKA KR10,TRUE,TRUE,63.03110751
T009,01-07-2024 09:05,3.666110337,66.17280589,66.38962527,0.56668273,0.564192504,1.085815616,5.758273004,0.476693868,66.48686785,0.584452808,23.89040061,Edge-02,13.82762957,Light,Pick,IRB6700,TRUE,TRUE,66.17280589
T009,01-07-2024 09:03,3.700506603,89.43,89.85,0.734068968,0.720010694,1.359919212,5.47664622,0.394584422,89.51,0.739506622,24.23904354,Edge-01,14.37790081,Light,Inspect,FANUC M-20iA,TRUE,TRUE,89.43
T001,01-07-2024 09:06,2.266270095,40.35201757,39.76780349,0.368984379,0.31908554,1.16495413,5.620557356,0.296432901,40.77627346,0.372848032,23.60844065,Edge-03,12.87875706,Light,Place,KUKA KR10,TRUE,TRUE,40.35201757
T009,01-07-2024 09:06,2.666566534,35.93335331,35.79296523,0.755543609,0.739817476,0.895013007,5.027035248,0.20677944,35.63169408,0.770656342,23.56621775,Edge-02,12.36572182,Light,Pick,KUKA KR10,TRUE,TRUE,35.93335331
T002,01-07-2024 09:04,2.712229038,41.64554532,41.76496963,0.666507907,0.67355873,0.8663716,6,0.230756067,41.30458951,0.65957136,22.88697434,Edge-01,12.41065435,Heavy,Inspect,KUKA KR10,TRUE,TRUE,41.64554532
T007,01-07-2024 09:03,4.755010787,46.33196957,45.56191302,0.852425397,0.812431933,1.090613453,5.347342892,0.25626701,46.20955383,0.886695555,22.5,Edge-02,10.02644948,Light,Weld,FANUC M-20iA,TRUE,TRUE,46.33196957
T005,01-07-2024 09:04,4.416318062,40.47008825,41.14791838,0.211866949,0.148863433,1.239481173,4.939209784,0.344419116,40.4955712,0.201107688,23.14714827,Edge-01,12.2349893,Light,Pick,FANUC M-20iA,TRUE,TRUE,40.47008825
T008,01-07-2024 09:01,1.662181953,52.20751385,51.84608936,0.478858364,0.567863368,1.221678566,4.920063812,0.159988122,51.98174249,0.458144931,23.81270023,Edge-02,13.38518795,Heavy,Place,FANUC M-20iA,TRUE,TRUE,52.20751385
T008,01-07-2024 09:03,3.375110702,84.85381716,84.83998373,0.756070988,0.799107176,1.333376946,4.840281733,0.317650583,84.31013279,0.751814528,24.00874776,Edge-02,10.01,Light,Inspect,IRB6700,TRUE,TRUE,84.85381716
T007,01-07-2024 09:00,2.586242565,88.22459394,88.19761978,0.884592032,0.742560089,0.858173753,5.083129773,0.261467134,88.68124178,0.890778996,24.24870276,Edge-01,12.67386644,Heavy,Weld,KUKA KR10,TRUE,TRUE,88.22459394
T005,01-07-2024 09:02,1.135931271,18.27299609,18.04069879,0.735023244,0.723707782,1.07958295,5.175190954,0.148913124,18.2133122,0.739689251,23.76093948,Edge-02,14.45905774,Light,Weld,KUKA KR10,TRUE,TRUE,18.27299609
T009,01-07-2024 09:03,3.404528073,42.26735944,42.1961949,0.740497342,0.694072569,1.083577007,5.249997326,0.358675078,42.37796595,0.750529331,24.39505279,Edge-02,12.16373062,Heavy,Inspect,KUKA KR10,TRUE,TRUE,42.26735944
T010,01-07-2024 09:01,4.18919669,10,9.52,0.963968668,0.947655287,1.074529856,5.801515123,0.306507679,9.42,0.938534904,24.65585444,Edge-02,12.1765208,Light,Weld,FANUC M-20iA,TRUE,TRUE,10
T009,01-07-2024 09:02,2.801011362,34.34024766,33.82445608,0.518876011,0.501371206,1.177653614,5.403596746,0.332037094,34.54023986,0.543519825,24.52241449,Edge-03,10.82606549,Heavy,Place,KUKA KR10,TRUE,TRUE,34.34024766
T003,01-07-2024 09:05,4.801664188,10,9.669666515,0.268265217,0.228049501,0.903656295,5.932669353,0.134974846,9.42,0.282588009,23.99538151,Edge-03,13.8022619,Heavy,Inspect,IRB6700,TRUE,TRUE,10
T008,01-07-2024 09:03,2.707345666,50.09455853,50.22482664,0.451337584,0.373696409,1.086906987,5.087821029,0.271986557,49.72374551,0.438858655,23.07715937,Edge-01,15,Light,Place,IRB6700,TRUE,TRUE,50.09455853
T005,01-07-2024 09:04,5.148596463,49.71902289,50.12867341,0.743516944,0.776078553,0.898954333,5.115451414,0.400084039,50.04760503,0.73090666,24.51231171,Edge-01,12.28354036,Heavy,Pick,IRB6700,TRUE,TRUE,49.71902289
T006,01-07-2024 09:01,1.817302563,60.86482872,61.38336364,0.452431265,0.49473321,0.994437465,6,0.207745941,60.65863597,0.468718188,23.78707032,Edge-02,11.44560626,Light,Place,IRB6700,TRUE,TRUE,60.86482872
T008,01-07-2024 09:00,4.12384601,30.79385734,29.73288019,0.555386022,0.527884264,1.255015641,5.55489236,0.401284476,31.47722266,0.54861182,24.29007023,Edge-01,10.47032955,Heavy,Inspect,FANUC M-20iA,TRUE,TRUE,30.79385734
T006,01-07-2024 09:06,1,10,9.529028864,0.831165735,0.910177251,1.212358452,5.121016123,0.38338071,9.42,0.81695726,24.99,Edge-01,12.04865084,Heavy,Inspect,FANUC M-20iA,TRUE,TRUE,10
T006,01-07-2024 09:01,4.478732761,21.94717812,21.81502486,0.875894632,0.845787316,0.825760191,5.611814077,0.363891281,21.43069486,0.859892864,24.16254134,Edge-02,15,Light,Pick,KUKA KR10,TRUE,TRUE,21.94717812
T008,01-07-2024 09:01,2.988192817,18.29786909,17.91096352,0.490163497,0.413759616,1.220844179,5.46069534,0.260303968,18.5451725,0.519626256,23.49729281,Edge-01,11.69409033,Heavy,Pick,IRB6700,TRUE,TRUE,18.29786909
T002,01-07-2024 09:03,2.553597379,52.97502041,54.12021779,1,0.978854887,1.084726182,5.217540906,0.400850588,53.164788,1.048356557,24.44148305,Edge-01,13.23135141,Light,Place,KUKA KR10,TRUE,TRUE,52.97502041
T008,01-07-2024 09:00,1,61.26640044,61.28968083,0.600993807,0.550892174,1.272294137,5.516158175,0.34143987,61.52507059,0.617985093,23.05683174,Edge-02,12.18681215,Heavy,Place,IRB6700,TRUE,TRUE,61.26640044
T008,01-07-2024 09:07,3.073987741,71.48298569,70.88806624,0.891848406,0.963565963,1.292637666,5.532743939,0.267760917,71.62221902,0.876864274,24.28036977,Edge-03,11.43442214,Heavy,Pick,FANUC M-20iA,TRUE,TRUE,71.48298569
T009,01-07-2024 09:06,2.296936329,51.30099739,52.3250173,0.2,0.16377697,0.825559449,5.022990026,0.35072129,51.41847815,0.2,22.77324225,Edge-02,12.29967251,Heavy,Weld,IRB6700,TRUE,TRUE,51.30099739
T002,01-07-2024 09:04,2.708906351,23.0462875,22.51452033,0.707840548,0.665978144,1.17118933,5.254785775,0.301113696,23.08266497,0.700531899,24.99,Edge-03,11.77915949,Heavy,Pick,FANUC M-20iA,TRUE,TRUE,23.0462875
T006,01-07-2024 09:01,2.860731956,83.7242532,83.23208933,0.627073295,0.667343583,1.22866938,4.911796496,0.260091292,83.28873917,0.629308303,24.20438063,Edge-03,13.79153275,Light,Pick,FANUC M-20iA,TRUE,TRUE,83.7242532
T009,01-07-2024 09:02,2.860987476,83.31891857,84.38790801,0.504569142,0.550487765,0.908617681,5.398489181,0.367263874,83.06212192,0.496181872,23.37545965,Edge-03,11.95356658,Light,Pick,IRB6700,TRUE,TRUE,83.31891857
